mood,focus,energy,overwhelm,anxiety,available_minutes,current_context,stage,stage_label,variant
3,5,1,1,2,80,any,1,Initiation Failure,focus_ok
2,2,3,2,1,118,any,4,Urgency Dependency,procrastination
1,3,1,2,3,78,outside,1,Initiation Failure,low_mood
1,4,2,1,1,98,phone,1,Initiation Failure,low_mood
1,3,3,2,3,34,desk,1,Initiation Failure,mild_anxiety
4,1,5,3,2,101,desk,2,Decision Paralysis,high_energy
2,2,1,5,5,68,phone,3,Overwhelm Freeze,classic
3,1,5,3,2,94,desk,4,Urgency Dependency,high_energy
1,3,2,5,5,83,phone,3,Overwhelm Freeze,overwhelm_dom
3,3,2,2,2,67,outside,1,Initiation Failure,focus_ok
4,1,3,3,5,100,outside,2,Decision Paralysis,anxious_spin
1,3,1,5,5,26,any,3,Overwhelm Freeze,overwhelm_dom
2,3,2,3,4,56,phone,3,Overwhelm Freeze,anxiety_dom
3,2,1,5,4,74,any,3,Overwhelm Freeze,overwhelm_dom
1,2,1,5,5,80,any,3,Overwhelm Freeze,classic
3,2,4,4,2,42,any,2,Decision Paralysis,classic
2,2,1,5,5,16,any,3,Overwhelm Freeze,classic
1,2,3,3,3,60,phone,1,Initiation Failure,low_mood
4,1,4,4,3,86,outside,2,Decision Paralysis,high_energy
1,4,1,3,3,48,desk,1,Initiation Failure,classic
2,1,3,3,2,36,outside,2,Decision Paralysis,high_energy
1,4,1,2,3,96,outside,1,Initiation Failure,low_mood
4,3,2,4,5,90,phone,2,Decision Paralysis,anxious_spin
2,1,3,1,1,208,outside,4,Urgency Dependency,procrastination
2,3,3,3,2,82,outside,2,Decision Paralysis,all_moderate
1,2,2,3,5,80,outside,3,Overwhelm Freeze,anxiety_dom
1,3,1,1,2,60,phone,1,Initiation Failure,classic
1,2,2,2,1,32,phone,1,Initiation Failure,moderate_all
2,1,5,4,3,69,outside,2,Decision Paralysis,high_energy
3,2,3,3,2,109,phone,2,Decision Paralysis,all_moderate
4,1,5,2,2,80,any,2,Decision Paralysis,high_energy
2,4,1,1,3,112,any,1,Initiation Failure,classic
2,3,4,2,4,111,outside,2,Decision Paralysis,anxious_spin
3,2,2,4,3,50,phone,3,Overwhelm Freeze,mood_ok
2,1,3,2,3,79,phone,2,Decision Paralysis,classic
1,3,1,5,4,61,phone,3,Overwhelm Freeze,overwhelm_dom
4,2,4,4,3,60,phone,2,Decision Paralysis,good_mood
1,3,1,3,2,55,phone,1,Initiation Failure,classic
